area,rooms,floor,year_of_construction,price
115,1,4,2007,872612
102,4,3,1979,942394
94,5,7,1968,357711
91,2,5,1983,490939
80,4,5,1990,374631
68,2,7,1968,950059
90,4,4,1988,624902
71,5,8,2010,291252
101,3,5,1973,249231
105,2,4,2001,721215
119,3,1,1966,269440
61,4,7,1969,444561
51,1,3,2021,334716
117,5,5,1999,713887
87,4,1,1980,989938
80,5,6,2016,531293
64,2,10,2013,462474
86,4,10,1956,733465
74,3,7,1951,949507
63,2,10,1954,356186
55,5,6,1952,954719
104,5,4,2022,266141
66,2,9,1972,190156
74,2,4,1968,752857
66,4,10,1971,782948
55,3,1,1983,195330
60,1,3,2002,891118
83,1,8,1983,492165
103,2,6,1998,313419
114,4,4,1997,735090
71,5,8,2006,917206
119,2,7,2008,681749
53,5,10,1994,953157
112,2,7,1985,697565
65,3,5,1964,539932
57,2,1,1986,441660
63,1,3,2009,592916
59,2,8,1951,222940
52,5,2,1976,575942
106,1,6,2005,191034
87,4,5,1954,520241
70,4,2,2012,170053
64,3,8,1981,779916
66,2,9,2005,875251
111,5,4,2007,768846
77,1,9,2009,318905
107,2,1,1967,165658
67,2,5,1952,734566
92,2,3,1961,386942
73,2,3,2013,579664
54,4,8,2020,193204
84,5,5,1979,756846
120,5,7,1972,552992
84,2,2,1991,604377
75,2,9,2005,278227
74,3,8,2001,694678
110,2,9,1987,469232
59,5,1,1997,829498
78,1,4,1963,387879
114,3,9,1973,451554
115,1,2,1958,790627
90,2,8,1982,159049
110,3,9,1960,215249
69,2,6,2016,438310
74,3,10,2018,762160
95,4,2,2020,499146
86,1,8,2015,533638
99,5,9,1969,714126
106,2,3,2002,353712
82,1,8,1987,436649
119,4,1,2013,869182
97,4,3,1971,365013
66,1,10,1961,911117
60,5,7,1958,926619
56,2,10,2006,288072
111,5,3,1988,797371
117,3,7,1973,286690
82,3,4,2000,311266
67,4,8,1994,781868
117,5,9,2008,349770
87,3,5,1972,758408
98,5,1,1988,747853
55,5,3,1999,953844
120,4,3,1974,385559
54,3,5,1972,711911
112,3,9,1963,843291
113,1,6,2020,196325
66,1,5,1996,459681
79,1,3,1970,654604
97,5,7,2013,555898
78,5,9,1966,234966
90,5,7,1997,269690
110,2,3,1991,234926
112,5,8,1965,525691
86,4,4,2021,448311
114,1,8,1977,710618
71,3,6,1959,392480
82,3,8,1960,897033
54,3,8,2013,362838
89,2,5,1971,434931
71,1,8,1954,454080
50,2,7,1964,425899
58,4,2,1996,191342
118,5,1,1965,817943
103,1,4,1993,560321
113,5,6,1977,648824
82,3,3,1985,167617
88,1,1,1963,820985
82,1,10,1993,890722
88,2,10,1972,865887
104,3,1,1969,549077
61,4,7,2012,291763
68,3,3,1964,860292
62,2,6,2000,398068
117,2,10,1993,954002
93,1,5,1982,391666
97,5,10,2021,680342
55,4,8,1972,693778
75,3,4,1986,874831
59,1,5,1990,207442
73,5,2,1999,975092
66,2,1,1955,469260
64,1,1,1991,201186
92,1,6,2016,606222
59,2,1,1972,805536
90,1,6,2001,307370
81,5,1,1998,957529
102,3,9,2021,809400
120,4,4,2013,280862
77,1,8,2008,542645
58,2,5,1954,929740
119,4,3,2009,442149
89,4,5,1999,389462
119,4,10,1954,943849
89,5,8,1969,641228
58,3,3,1992,379365
92,5,9,1998,971006
58,3,3,1982,696173
72,5,10,1995,431113
114,2,3,1983,972789
113,3,4,1961,272730
86,4,6,1950,173408
71,3,10,1955,616159
102,4,1,1976,294676
64,3,3,1965,687482
96,3,1,1970,974218
88,4,6,1951,348347
89,1,10,1981,737250
119,1,5,2022,560651
104,2,1,1981,722123
104,1,6,1984,503572
81,3,3,1959,297545
71,2,3,2014,320967
109,3,8,1963,607391
113,5,3,1976,584224
93,4,7,1985,892548
92,1,8,1963,439874
50,2,9,2015,727179
100,3,2,2020,478223
57,4,9,1954,470852
82,2,8,1991,825845
78,4,3,1955,340025
86,5,5,1981,299735
99,4,3,1993,325727
97,2,8,2003,897128
63,1,10,1957,749969
84,4,9,1999,907872
61,2,7,1993,354297
72,4,3,1993,270560
68,3,2,2002,892650
108,4,6,1951,981900
74,2,8,1979,668907
106,3,4,2008,215764
58,5,1,1975,260479
70,5,8,1983,984272
109,3,8,2014,342696
110,2,10,2000,463121
90,4,9,2003,247258
51,4,6,1957,760592
76,5,1,2021,437089
67,3,1,1966,265567
68,5,8,1972,777392
96,4,10,1998,412443
112,5,6,2014,218060
99,3,4,1959,177646
98,1,1,2022,460232
116,2,6,1964,705652
95,4,4,1955,356685
92,1,9,1980,937091
118,2,9,1959,597282
115,5,1,2019,767665
55,5,5,2007,550524
57,2,6,1954,782029
53,2,5,1986,501019
100,1,8,1999,645652
53,4,6,2004,372961
70,4,6,2015,649116
72,3,9,1979,283080
118,3,4,1993,513955
105,5,6,2011,866504
56,5,7,1993,371127
118,1,10,2000,277277
119,5,7,1969,723195
88,2,9,1989,365704
60,4,4,2002,215903
50,3,8,1991,931639
118,5,9,1961,354356
61,5,1,1961,686953
57,4,7,1975,512202
86,4,6,2011,665170
99,1,10,1970,678435
110,3,3,2021,988918
72,1,2,1950,794177
75,5,2,1979,530923
76,5,5,1957,251073
119,3,6,1959,825933
99,3,3,1978,840728
65,5,8,2019,261091
84,1,5,1992,850546
83,5,3,2018,828439
104,5,2,2020,960219
96,4,4,1990,667818
100,2,1,2003,666203
106,4,10,2017,203727
96,3,9,1982,686456
59,4,9,1993,962444
77,4,1,1973,881985
76,2,8,1994,984850
91,3,2,1965,427351
75,4,9,1998,590526
85,4,5,1974,369166
120,4,5,1976,269901
108,5,8,2019,666920
119,5,1,1963,677166
63,5,2,2006,897175
105,5,5,2008,561321
102,1,4,2020,469942
61,3,3,1999,999854
54,3,9,2014,210487
92,5,6,2002,781849
72,2,6,1953,248089
100,1,3,1963,832234
108,4,10,1968,530330
119,5,8,1996,211209
92,4,8,2016,661538
108,3,8,1978,240253
60,2,8,2011,701518
113,4,1,1966,246054
84,1,3,2012,742975
112,4,5,1987,368791
96,3,9,1951,340263
53,1,3,1957,611447
112,5,3,1976,788374
54,5,10,1985,837046
58,3,4,1987,464884
61,5,9,1999,511256
56,1,5,1985,344038
105,1,4,1994,825089
75,2,4,2020,467459
118,3,2,1954,348148
83,2,4,1962,587973
114,4,1,1976,297727
51,2,6,1969,425837
92,4,4,1955,986812
109,5,3,1952,637772
117,3,4,1951,287231
102,4,7,1982,545772
90,1,3,1950,640402
83,4,8,1980,175639
85,5,8,1988,512244
80,2,4,1957,491749
111,3,8,1978,579805
83,1,2,1986,463670
94,5,2,2018,852547
109,4,4,1989,449781
117,3,10,1988,354658
52,4,2,2007,683360
63,2,8,1992,261506
117,4,2,1989,989483
106,5,8,2015,905129
120,1,3,1953,152294
113,3,1,1998,654742
56,1,2,1980,673083
116,3,10,1972,568716
69,3,4,1967,600122
97,1,6,1986,317728
81,3,2,1972,150761
85,2,8,1960,491617
74,3,2,1979,751477
96,1,6,2006,782776
52,5,9,1968,354439
50,1,8,1964,921658
106,5,2,1989,572441
92,1,4,1999,300477
112,5,7,1979,715979
116,1,5,1980,685547
95,2,7,1965,759071
112,1,2,1990,421630
116,2,7,2006,586101
97,4,7,1982,324842
117,3,9,1984,534399
69,1,4,1996,934758
71,1,10,1975,743592
52,5,10,1992,272891
70,3,3,1973,802899
81,3,1,1992,816750
62,5,7,1954,768796
53,4,1,1987,273221
108,2,9,1951,300475
72,4,9,1952,579634
61,1,5,1987,345308
93,1,7,1985,231604
82,2,6,1956,555232
109,5,6,1980,497119
106,4,5,2016,767877
57,5,7,1951,837199
66,2,2,2006,915821
97,5,10,1989,795050
52,1,4,2017,569191
91,5,1,2019,889610
58,5,8,2008,962570
51,3,1,1989,280174
83,2,5,2017,179244
108,5,5,2017,650794
76,2,8,1979,153559
79,4,4,1960,540940
93,5,5,1971,202893
89,2,9,2001,528451
86,3,7,1966,622852
101,4,1,2009,522681
104,5,2,1954,543522
74,5,10,2010,883972
82,4,1,1962,419265
96,5,10,2000,498875
71,1,9,1968,588469
65,2,9,1978,236354
82,4,6,1975,287826
89,3,8,2016,203792
91,1,5,1977,656507
84,4,10,1993,944258
119,5,6,1957,267067
95,4,1,1970,639621
84,2,5,2001,897648
106,1,10,2001,382732
92,4,10,1972,728487
94,5,5,1956,907287
62,1,3,2000,656819
83,5,7,1993,550306
96,1,4,2006,242715
98,3,4,1953,751282
57,3,9,1970,638387
55,2,1,1989,530986
60,5,4,2002,704104
103,2,6,2012,231804
67,3,2,1955,313793
97,1,1,1991,268621
57,4,2,1960,806463
116,5,6,2016,654070
106,5,4,1967,543774
74,2,5,1965,891262
76,1,3,2018,683304
80,3,4,2009,606725
119,4,5,2005,890075
102,4,2,1990,363793
69,4,6,1966,448070
120,5,8,1976,958962
50,5,6,1987,596092
63,4,3,1974,901478
84,3,8,1972,581883
50,1,9,2008,520074
88,1,10,1976,215144
74,5,9,2020,974592
75,3,4,2018,608560
58,1,1,2017,959027
72,2,5,1980,201842
91,1,5,1958,152728
57,3,10,2018,243592
118,5,2,1953,503509
119,5,2,1998,590109
90,3,8,2012,852903
62,3,7,1998,952693
65,1,3,1972,343114
78,4,8,1996,208382
116,5,5,1998,197523
114,5,4,1960,492387
85,1,10,1958,920947
66,3,5,1954,418336
115,3,1,1989,538038
72,2,7,1987,855279
73,3,3,2022,392474
50,5,3,2015,297582
77,2,3,1981,211072
57,5,1,1967,359560
61,4,6,1985,458582
107,2,7,1980,379781
93,3,6,1989,413987
104,5,10,2012,339669
54,2,2,2013,536233
90,3,8,2004,598428
102,4,4,2007,534909
54,5,1,2009,841240
120,3,6,1995,758845
118,2,3,2006,162031
73,3,8,2012,792146
101,2,9,1959,877208
90,5,6,2009,291768
69,4,2,1952,928300
77,1,4,1988,684119
100,2,2,1966,553083
88,4,8,1954,829823
76,5,7,1995,883219
105,1,4,1951,150261
116,1,10,2002,884526
104,2,8,1987,180657
113,3,5,1970,849637
51,5,1,1973,602879
118,2,4,2004,693893
56,5,1,1999,165501
83,5,8,1989,996382
93,1,8,1992,451845
62,2,9,1981,676584
68,5,6,2019,252382
95,4,9,1979,920338
54,3,10,1988,872197
76,2,7,1976,269399
99,2,1,1995,686060
110,4,4,1955,990827
66,2,4,1988,662556
100,3,5,1968,713443
50,4,8,2022,992764
53,4,5,1955,708238
89,1,1,1953,604623
62,5,5,1990,408213
109,2,2,1986,716911
54,1,6,1960,222517
113,5,6,2000,929365
98,5,8,2018,872075
118,2,10,1972,379641
112,5,2,1988,213711
88,1,2,2013,241967
116,4,6,1997,880452
59,3,5,1972,575777
81,2,3,2010,366659
119,1,8,2001,874886
101,5,9,1989,693897
102,4,6,1971,571124
77,4,1,1976,646579
99,1,4,1991,777724
52,5,9,1984,267508
83,4,2,1971,704993
79,5,4,2007,959271
82,5,8,1978,978701
52,5,10,1984,975641
77,4,6,2008,457096
74,4,4,2001,191775
54,4,3,1979,972341
102,2,9,2005,591859
92,5,9,1950,783722
81,1,8,1993,904184
89,2,6,1965,914358
113,2,7,1987,225460
96,3,10,2018,176430
112,2,6,2003,528326
69,4,5,2011,942124
64,2,6,1974,181405
83,3,4,1983,262118
65,3,3,1975,727264
110,2,9,1982,255121
64,3,1,2016,900250
120,1,5,1967,878266
107,1,7,1994,586846
81,1,7,1952,528622
55,4,6,1975,503421
54,2,8,1962,365332
95,2,10,1959,800850
103,5,2,1998,553778
72,5,1,1968,792906
115,3,9,1960,572875
51,3,9,2004,639973
72,2,10,1978,957384
86,3,10,1988,194561
52,3,4,1982,894629
113,4,4,2004,442829
56,3,6,1966,442588
103,3,3,1954,970358
94,5,8,1990,363567
103,1,6,1991,412018
86,3,5,1956,958011
51,2,9,1993,641309
99,4,8,1985,491323
103,3,1,2004,398026
68,1,9,1956,809014
119,4,1,1999,247104
66,4,6,2021,756234
98,3,5,1973,762086
56,1,4,2016,660367
83,2,4,2002,701290
80,5,10,1967,627301
94,1,1,2014,487531
96,2,5,2018,863502
63,5,10,1992,411319
71,4,2,1986,168555
88,1,3,1988,679865
103,1,10,1980,520503
81,1,1,1985,171339
116,3,1,1983,221156
53,3,8,1992,279245
99,2,1,1957,174217
61,2,9,1997,490511
93,2,10,1987,493679
89,3,5,1983,508836
108,5,9,2017,569065
58,1,9,1997,795420
64,5,10,1984,686364
85,2,5,1971,343027
89,1,7,1978,427692
75,5,7,1993,545040
76,2,7,1965,594583
92,1,10,1953,297395
74,5,1,1981,794884
55,3,2,1967,396008
118,2,10,1970,374613
71,1,7,2002,230922
114,3,3,2010,205924
78,4,1,1950,428321
68,3,8,2014,418580
110,3,1,2020,915017
69,4,1,1974,593919
110,3,3,1988,185966
101,5,9,1980,738454
74,5,10,1968,609942
108,3,3,2003,708696
102,3,2,1950,648211
78,1,6,1994,440788
89,5,4,1993,974979
57,3,6,2014,186844
65,3,5,1963,354338
92,2,8,1969,487206
104,3,6,2016,412418
95,1,1,1983,675698
72,1,8,2000,963233
57,1,9,1964,318472
96,4,5,1987,739176
75,5,1,1951,844469
53,5,7,1957,677754
108,4,6,2003,348193
118,5,2,2012,801604
89,3,5,1959,476359
53,4,9,1972,935438
90,4,4,2007,304207
54,3,8,2010,275019
116,1,7,1966,303711
58,1,7,2012,327809
99,2,3,2016,614186
53,2,9,1968,244084
75,1,2,2002,685683
54,3,10,2003,814368
95,4,7,2009,587406
114,4,2,1971,641799
53,2,5,1993,320463
53,3,6,1996,980840
116,2,7,1973,501799
110,2,6,1999,833916
60,5,2,1965,835096
88,3,3,1978,309758
107,1,1,1988,187521
92,3,8,1955,374489
64,4,1,1986,513366
77,1,8,1962,906563
77,1,5,1955,886185
104,5,3,2015,316730
55,5,2,2014,599397
53,3,4,2019,625357
66,4,10,1993,474365
67,1,1,1977,814746
68,3,3,2021,807719
98,2,5,1983,330503
83,1,7,1954,790350
120,4,3,1954,726552
109,2,2,1970,270680
68,5,8,1976,802830
110,2,6,2016,555483
120,5,10,1970,259978
112,4,1,2011,954993
71,1,8,2011,418665
114,2,9,1953,366091
106,1,3,1961,202353
76,1,4,1957,666717
65,1,1,1992,249660
87,2,9,1965,325208
100,2,10,1994,491995
85,4,3,1983,210782
56,4,2,2010,767938
61,4,8,1967,169625
58,3,2,2001,617900
71,1,2,1958,163201
100,4,8,1993,486940
116,3,7,1953,304847
86,5,4,2009,431642
119,5,5,1977,445555
87,2,1,1982,850718
50,2,10,1989,339343
109,4,9,1961,753428
81,3,7,1967,851173
82,1,6,1966,663273
53,2,1,2014,926547
117,5,9,1991,921031
105,2,4,1959,363412
69,3,1,1981,341028
80,5,4,2014,576587
112,1,6,2021,899604
107,3,6,1978,575898
83,4,6,1973,911699
89,1,10,1960,457453
78,2,2,1989,826880
70,5,10,1970,495513
50,5,9,2002,935007
87,5,3,1965,783782
107,5,4,2018,396249
113,4,4,1996,661275
117,2,8,1995,536530
64,2,6,1969,865351
72,3,5,1956,805181
99,1,4,1977,396770
63,4,7,1956,240220
85,2,8,2010,564169
117,4,7,2008,440576
91,4,4,1963,441220
55,5,5,1993,850319
97,5,10,1951,696268
70,1,3,1982,364873
81,5,5,1995,432305
94,4,2,1987,983114
80,5,5,1999,699289
69,3,1,1999,634384
119,5,3,2015,783897
56,5,8,2019,547438
82,2,6,1951,676074
90,2,2,2004,547547
105,5,5,1952,607325
71,2,6,2008,949374
64,3,9,2006,754847
74,3,4,1952,835062
73,5,1,1999,902469
68,1,9,1970,539510
117,4,8,2007,642497
119,5,4,2000,506950
81,3,1,2001,617695
89,5,10,2012,305853
65,2,1,1990,795446
108,2,4,1985,816114
115,3,2,1962,910601
83,1,10,1981,953677
54,1,1,1975,438150
81,5,1,2002,329463
57,2,7,1998,705888
83,5,9,1962,496022
77,1,1,2004,400119
112,1,8,1955,402080
90,1,3,1984,834444
90,1,10,1958,679448
64,3,5,1981,298910
120,5,8,1973,962641
110,5,4,1980,425160
97,1,4,1995,794252
69,4,7,1950,585538
116,5,3,2012,474004
109,1,6,2021,203229
69,5,10,2008,381658
118,5,6,1959,325770
93,3,10,1980,357407
102,2,8,2003,826928
70,1,9,2007,916307
50,5,2,1994,364014
65,1,9,2022,897249
87,4,4,1981,570866
100,2,3,2001,606013
113,1,3,2016,172278
78,4,8,1950,948221
84,1,6,1978,669481
65,4,10,1957,786918
87,4,10,2000,516097
76,5,2,1953,427697
119,5,8,1959,445899
88,3,4,1988,456242
78,2,9,2015,719621
78,4,4,1956,189939
87,2,3,1952,893421
96,3,1,1974,752558
106,1,1,2008,603972
70,5,1,1982,918366
74,5,1,1991,472866
65,5,6,1988,281524
73,3,3,1952,815865
112,2,6,1985,741125
99,2,2,1991,534343
98,2,5,2006,231302
103,1,8,2017,568873
55,1,4,1967,187031
107,1,10,1975,574709
83,5,10,1950,471065
90,3,6,1951,606030
88,4,2,1950,498852
77,4,6,1981,945809
66,1,8,1977,802184
84,2,1,1975,660078
84,2,10,1975,935678
92,3,6,1953,302670
108,4,1,2005,290473
81,5,9,1974,903079
75,3,1,1958,694860
78,3,7,2017,436902
120,5,7,1952,630411
102,1,2,2013,168465
102,3,8,1962,997356
102,4,9,1967,243637
54,5,8,1982,219204
95,3,1,1990,996329
54,2,2,1959,854737
57,2,10,1972,983783
87,2,3,1968,306955
88,5,1,1990,962635
64,1,6,1965,786891
104,1,2,2018,181193
53,5,5,1978,707837
59,4,10,1957,262525
74,3,5,1979,976261
56,5,10,1992,555767
88,4,6,2002,295390
70,5,4,1962,305771
115,3,9,1956,434130
96,3,9,1975,880098
110,2,2,1998,768326
95,4,2,1998,526193
57,3,3,1964,294804
102,1,1,1993,369602
57,4,5,1966,454995
92,1,8,2014,193642
55,3,6,2004,484150
68,5,7,2020,301957
69,3,3,1983,996644
78,2,5,1969,795530
97,5,1,1999,387762
87,1,9,2006,915117
91,3,4,1984,625814
95,4,9,2020,508406
99,3,3,1990,668924
92,4,6,1972,373587
100,2,2,2005,217496
95,2,6,2003,743154
110,2,9,2022,986596
59,1,1,1967,253762
68,2,2,2007,412762
112,4,7,2006,941401
88,3,10,1952,981758
91,1,6,1976,290215
59,5,2,2017,274330
116,1,10,2017,415622
70,4,8,2021,989935
78,5,1,2000,920938
111,3,4,1963,687916
61,5,1,2002,411133
98,1,3,1995,274470
60,3,7,1979,179584
65,5,1,1994,953927
59,1,8,1994,838618
110,3,2,2007,844932
115,2,1,1984,611737
109,5,7,2008,871632
74,1,8,1964,405789
58,3,3,1978,744928
50,5,10,2003,488840
103,5,3,1988,845817
120,1,1,1961,285551
87,1,10,1963,801712
111,4,6,2001,746425
79,4,6,1971,939849
59,1,7,2021,513390
55,4,10,1972,266600
97,2,5,1983,281759
85,2,8,1952,388256
73,3,9,2000,306562
97,4,2,1990,712008
79,2,5,1988,756689
99,2,1,2008,847003
103,4,1,2008,893382
97,4,8,2019,711246
106,1,2,1967,863386
63,3,8,2022,161181
114,2,9,1991,903845
65,1,2,1969,763741
72,1,4,2002,786949
118,2,5,2013,990122
58,5,5,1967,262444
67,3,5,2019,739588
60,3,6,1997,379824
83,2,7,1977,884430
58,3,8,1981,996452
72,5,4,1964,600795
92,2,5,1956,649454
106,1,8,1994,826163
55,4,4,1966,292986
68,1,8,1965,235075
101,3,8,1986,881736
71,5,8,1993,785597
54,5,3,2020,595928
75,2,3,1952,773041
111,5,7,1967,181031
84,3,1,1989,159040
100,3,6,2004,341111
78,4,3,1970,670972
104,4,1,1988,767398
120,1,5,1957,636247
95,1,4,1975,172088
62,4,8,1994,349762
54,5,4,1983,825307
62,3,10,2001,314012
85,3,4,2013,173839
113,2,6,1998,911268
61,5,2,2019,885125
61,4,7,1969,481073
90,5,4,1955,653758
79,4,2,2017,503332
97,5,1,1977,478336
68,3,9,1996,244719
97,1,2,1979,336795
74,4,2,1968,199284
60,4,2,2005,601944
120,2,5,2017,599200
59,3,7,1983,683631
79,1,6,2020,497618
52,5,6,2010,843288
97,4,6,2012,405327
72,1,3,2011,159976
98,3,3,1994,380023
86,1,8,1985,538896
59,2,6,1956,699077
76,4,8,2004,969163
83,1,5,1951,414571
91,2,3,1995,159666
93,5,10,1982,397755
106,3,2,1982,255354
96,4,10,1990,786941
108,5,3,2011,999440
99,1,1,1973,888242
82,4,1,1966,453798
55,3,9,1969,853812
107,1,5,1999,449573
52,3,2,1996,856175
110,4,1,1967,942737
83,5,5,2019,320090
102,1,4,1961,375795
67,1,8,1999,894430
114,4,8,2018,157723
50,4,4,1957,984364
109,5,3,1988,987129
51,1,10,1967,829395
95,1,4,1994,968123
63,5,8,1954,573911
105,3,1,1960,274430
53,2,8,1968,897753
87,2,5,1952,584496
111,4,7,1986,730482
119,2,3,1980,263932
80,3,1,2018,406031
83,5,5,2017,999076
61,4,1,1973,956278
67,3,9,1969,720478
55,4,10,1960,582360
108,2,4,2022,309957
115,5,4,2006,485018
71,3,3,1995,169264
55,5,6,1977,747147
118,2,2,2002,860561
111,4,9,1979,859550
98,4,6,1970,820963
53,1,3,1985,437973
63,3,10,1960,838657
88,5,9,2013,747162
102,3,2,1968,934916
63,3,1,1964,914450
51,5,2,2010,971208
115,4,8,1961,717997
58,5,4,1950,225295
66,4,3,1960,366917
84,5,3,1983,603269
101,2,5,1973,406858
50,4,10,2008,285455
80,3,8,1966,724823
111,2,8,2013,450827
86,1,3,2022,884175
81,1,10,2011,661844
103,1,7,1961,437121
69,4,1,1953,841380
115,5,9,2004,298344
78,2,6,2015,198849
101,1,4,1988,518078
54,3,6,1971,372361
51,2,8,1983,186419
95,4,2,1959,935530
68,3,6,2012,450712
89,1,10,1984,306624
116,3,7,1954,279942
108,3,5,1995,714498
85,2,6,2009,930944
107,3,6,1985,518778
101,3,6,2014,626249
93,4,5,1951,603915
106,4,2,1999,943286
67,1,8,1973,692122
93,1,8,2013,359440
100,3,1,1968,706016
95,2,6,2021,245477
101,2,10,1971,437393
59,3,10,1963,625581
54,4,10,1987,667879
85,1,9,1991,970309
116,2,6,1977,164526
72,3,1,2009,395546
62,3,7,1972,710741
61,1,5,2005,596279
82,1,9,2017,341570
62,1,6,1971,456240
65,5,9,2016,372944
52,4,7,2012,389546
88,1,3,1957,931776
85,3,5,1962,707979
60,1,4,1994,729332
83,5,4,1981,654039
111,2,10,1978,671993
112,2,4,1972,208562
118,4,3,2016,516557
67,3,7,1952,582230
95,4,10,1962,254786
77,3,9,1993,362025
63,1,5,1969,406604
58,5,8,1967,447366
72,1,6,1994,645342
66,4,10,2005,167550
83,2,2,2013,911142
107,1,1,1954,578869
85,3,8,1955,637126
103,2,1,1987,877852
72,2,1,2003,964080
87,5,5,1958,655870
71,2,4,1999,234263
99,4,4,1970,333085
101,5,8,1988,876345
104,1,4,1964,768237
79,3,4,1962,982223
67,2,6,1973,648460
57,4,4,2015,177356
114,5,9,1989,627431
62,4,2,1975,285238
82,1,8,1974,357236
99,1,4,1989,183040
63,1,9,2006,246777
106,1,7,1983,240770
110,5,6,2021,892378
56,2,4,1960,748342
93,2,10,1954,842969
61,3,2,1956,594684
59,1,3,2020,916188
110,4,8,1992,339399
101,3,8,1960,514734
120,4,5,2013,226950
92,4,6,1976,566510
61,3,6,1990,843394
74,1,3,1971,643064
119,5,2,1995,349323
109,5,2,2007,766544
102,5,6,1981,898518
78,4,9,1997,794077
51,4,10,1967,622014
81,5,3,2019,370332
98,2,6,1957,918118
72,3,6,1964,935404
90,5,7,1951,446768
53,5,10,1993,221237
84,1,7,1969,259652
63,5,1,2010,860618
84,5,8,1977,263993
113,2,9,1956,744649
55,2,1,1952,185894
109,1,9,1956,610287
68,3,9,1982,637830
117,1,7,1997,296583
62,2,8,1992,284752
56,3,9,1950,915020
94,2,1,1994,468092
112,3,8,2001,632460
107,1,2,1961,825422
109,1,8,1994,860045
119,3,2,2011,244539
93,3,10,1958,252152
68,4,6,1988,794735
75,4,9,1957,176473
54,5,1,1952,397289
82,5,5,1960,421891
108,5,7,1991,420263
88,1,5,1990,722263
113,5,3,1966,382945
108,5,3,1994,626363
52,3,3,1987,924752
55,3,8,2005,269699
86,5,7,1961,717167
90,1,9,1955,187387
102,5,1,2012,302764
77,2,6,2016,965745
96,1,5,2003,981803
71,2,9,1985,978974
106,2,6,1992,418049
93,5,1,1962,406003
66,4,10,1965,639069
109,2,9,2020,435976
113,1,4,1995,185958
115,5,1,1987,973908
63,3,4,2015,300612
88,4,7,1979,360986
96,4,10,1957,733079
93,4,8,1953,358921
74,1,9,1970,302756
67,1,1,1993,257578
65,4,8,2003,249341
91,1,1,1993,734786
109,2,3,2012,425281
65,2,6,1998,659748
82,5,5,1982,676681
51,3,6,1951,522808
75,5,4,2003,235274
77,3,3,1967,259506
111,2,7,1963,948388
74,2,2,1982,277312
67,4,9,2004,597738
54,4,1,1958,771820
63,4,5,1986,195176
63,3,1,2010,211438
120,3,1,1997,194424
90,3,3,1969,929577
107,3,8,1970,593208
65,2,5,1981,556884
56,3,8,1967,234469
105,5,1,1950,696826
73,2,7,1997,543385
76,5,5,1993,748864
93,3,7,1955,568041
65,3,4,1961,210438
99,3,10,1969,415973
100,2,10,2000,159047
82,4,5,2003,248187
87,5,1,1980,617998
59,3,7,2021,719583
116,2,7,1968,688876
71,4,3,1998,806277
80,1,7,2012,405279
91,5,4,1977,878534
59,2,5,1992,619036
58,5,3,1954,741699
95,4,3,1979,321214
70,2,3,1964,166009
88,1,8,2022,741538
118,2,3,1995,337987
96,5,7,1967,695281
100,3,3,1981,169086
117,5,10,2002,459680
93,5,5,2020,823121
111,1,5,1980,367925
110,5,5,1965,694947
113,1,9,1964,807969
68,1,4,2002,436714
120,2,8,1987,170694
69,4,6,1981,303048
81,1,10,1961,531539
52,5,3,1995,701980
54,1,6,1966,844129
64,5,4,1997,997064
78,2,7,1973,250935
57,4,7,2010,168610
75,4,4,1952,386995
118,2,10,2018,400087
64,2,9,2014,299831
119,1,2,1992,583615
73,4,8,1980,278505
106,3,1,2002,715168
116,1,2,2017,430047
114,3,8,1983,350244
63,5,8,1995,462391
90,3,5,1973,708371
50,5,5,1952,854651
120,3,6,1978,699319
86,2,4,1957,948119
98,4,4,1951,164122
74,1,4,2008,458085
69,3,5,1956,740227
55,1,2,1975,594664
84,5,9,2019,934531
75,3,3,1952,863448
77,5,9,1996,811040
111,3,8,1956,344616
93,4,1,1996,836131
118,3,2,1981,757835
60,1,5,1997,303591
96,4,1,1995,414822
101,5,9,2005,459262
106,1,3,2001,640969
88,2,6,1959,530283
79,3,5,1965,741474
94,4,5,1969,734171
93,5,7,2000,578079
109,4,8,2014,381986
81,1,9,2009,905347
73,4,5,2000,914396
105,3,2,1969,907372
53,1,9,1973,813288
112,3,5,1987,666865
56,5,4,1980,906115
89,3,4,2010,812988
52,1,10,1985,849342
101,2,3,1994,727059
110,1,7,2011,314861
101,1,3,1985,676552
63,2,9,1957,831032
120,1,10,1982,309551
94,2,6,1960,792506
102,4,9,2022,520107
77,3,3,1967,991977
73,5,4,1969,433643
67,3,1,1959,972696
97,4,2,1976,735162
55,3,5,1955,758705
115,1,8,1980,350802
76,5,1,1955,945941
77,2,8,1986,963514
106,3,3,2003,547586
54,5,3,1982,411787
66,3,8,2018,618914
89,3,10,1972,888807
57,4,6,1959,433366
106,4,8,1971,838895
112,4,2,2017,523587
53,2,10,1960,807160
57,2,9,1975,857874
86,5,9,2021,749545
52,1,5,2012,636611
62,5,6,1991,870003
58,3,10,1958,999441
107,2,5,2013,575936
109,2,6,2000,824359
66,1,2,1996,213214
86,2,1,1999,688653
106,3,8,1987,865864
118,4,10,2016,257213
61,2,7,1977,420768
83,4,2,1990,468216
113,1,3,1999,862264
62,1,5,1980,622400
80,2,7,1952,528561
116,3,1,2016,714712
84,4,10,1981,710014
111,5,10,2020,352746
102,4,8,1953,249836
52,5,8,2015,390351
71,2,6,1989,506839
113,2,10,1968,565482
117,5,4,2015,387163
